city,state,zip,lat,lon,day,date
Campo,CA,91906,32.672309,-116.52905500000001,1,2017-04-01
"",CA,"",32.732865,-116.483408,1,2017-04-01
Pine Valley,CA,91962,32.761537,-116.43802400000001,1,2017-04-01
Campo,CA,91906,32.685086,-116.51658600000002,2,2017-04-02
Campo,CA,91906,32.684776,-116.51992500000001,2,2017-04-02
Campo,CA,91906,32.590144,-116.46743,3,2017-04-03
Mount Laguna,CA,91948,32.89695,-116.429,3,2017-04-03
Julian,CA,92036,32.92477,-116.48117,4,2017-04-04
Julian,CA,92036,32.97787,-116.52698,4,2017-04-04
Julian,CA,92036,33.05048,-116.52396000000002,5,2017-04-05
Julian,CA,92036,33.09732,-116.47266000000002,5,2017-04-05
Warner Springs,CA,92086,33.16698,-116.54343,6,2017-04-06
Warner Springs,CA,92086,33.21548,-116.58783,6,2017-04-06
Warner Springs,CA,92086,33.27447,-116.64513,7,2017-04-07
Warner Springs,CA,92086,33.31137,-116.62737,7,2017-04-07
